#;CAMINHO NO XML;CAMPO;"REGRAS DE NEGÓCIO PARA A NOTA FISCAL DE SERVIÇO ELETRÔNICA DO 
SISTEMA NACIONAL NFS-e";;;;;;"NÍVEL
DA REGRA";"EMISSORES PÚBLICOS NACIONAIS NFS-e
(SEFIN, WEB, APP)";;ADN NFS-e;;OBSERVAÇÕES DE NEGÓCIO;;;
402;;;"O valor percentual  de dedução/redução informado na DPS não pode reduzir o valor da BC de forma que resulte no valor do ISSQN a uma alíquota efetiva menor que 2%, exceto para os códigos relativos aos serviços:
042201, 042301, 050901, 070201, 070202, 070501 , 070502, 090201, 090202, 100101, 100102, 100103, 100104, 100105, 100201, 100202, 100301, 100401, 100402, 100403, 100501, 100502, 100601, 100701, 100801, 100901, 101001, 150101, 150102, 150103, 150104, 150105, 151001, 151002, 151003, 151004, 151005, 160101, 160102, 160103, 160104, 160201, 170501, 170601, 171001, 171002, 171101, 171102, 171201, 210101, 250301.";;Obrig.;Rej.;E0444;O valor percentual  de dedução/redução informado na DPS não pode reduzir o valor da BC de forma que resulte no valor do ISSQN a uma alíquota efetiva menor que 2%, exceto para os códigos relativos aos subitens 042201, 042301, 050901, 070201, 070202, 070501 , 070502, 090201, 090202, 100101, 100102, 100103, 100104, 100105, 100201, 100202, 100301, 100401, 100402, 100403, 100501, 100502, 100601, 100701, 100801, 100901, 101001, 150101, 150102, 150103, 150104, 150105, 151001, 151002, 151003, 151004, 151005, 160101, 160102, 160103, 160104, 160201, 170501, 170601, 171001, 171002, 171101, 171102, 171201, 210101, 250301, da lista de serviços nacional do Sistema Nacional NFS-e.;2;V;X;X;X;O valor do desconto incondicionado, se informado na DPS, não é considerado para a redução do valor da BC de forma que resulte para valor do ISSQN a uma alíquota efetiva menor que 2%.;;;
403;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/;vDR;Código de serviço informado na DPS não permite dedução/redução na base de cálculo do ISSQN por valor monetário, conforme parametrização do município de incidência conveniado ao Sistema Nacional NFS-e.;;Obrig.;Rej.;E0446;Código de serviço informado na DPS não permite dedução/redução na base de cálculo do ISSQN por valor monetário.;3;V;X;X;X;-;;;
404;;;"O valor de dedução/redução informado na DPS não pode reduzir o valor da BC de forma que resulte no valor do ISSQN a uma alíquota efetiva menor que 2%, exceto para os códigos relativos aos serviços:
042201, 042301, 050901, 070201, 070202, 070501 , 070502, 090201, 090202, 100101, 100102, 100103, 100104, 100105, 100201, 100202, 100301, 100401, 100402, 100403, 100501, 100502, 100601, 100701, 100801, 100901, 101001, 150101, 150102, 150103, 150104, 150105, 151001, 151002, 151003, 151004, 151005, 160101, 160102, 160103, 160104, 160201, 170501, 170601, 171001, 171002, 171101, 171102, 171201, 210101, 250301.";;Obrig.;Rej.;E0447;O valor de dedução/redução informado na DPS não pode reduzir o valor da BC de forma que resulte no valor do ISSQN a uma alíquota efetiva menor que 2%, exceto para os códigos relativos aos subitens 042201, 042301, 050901, 070201, 070202, 070501 , 070502, 090201, 090202, 100101, 100102, 100103, 100104, 100105, 100201, 100202, 100301, 100401, 100402, 100403, 100501, 100502, 100601, 100701, 100801, 100901, 101001, 150101, 150102, 150103, 150104, 150105, 151001, 151002, 151003, 151004, 151005, 160101, 160102, 160103, 160104, 160201, 170501, 170601, 171001, 171002, 171101, 171102, 171201, 210101, 250301, da lista de serviços nacional do Sistema Nacional NFS-e.;2;V;X;X;X;O valor do desconto incondicionado, se informado na DPS, não é considerado para a redução do valor da BC de forma que resulte para valor do ISSQN a uma alíquota efetiva menor que 2%.;;;
405;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/;documentos;Código de serviço informado na DPS não permite dedução/redução na base de cálculo do ISSQN por documentos, conforme parametrização do município de incidência conveniado ao Sistema Nacional NFS-e.;;Obrig.;Rej.;E0449;Código de serviço informado na DPS não permite dedução/redução na base de cálculo do ISSQN por documento informado.;3;V;X;X;X;-;;;
406;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos;docDedRed;-;;-;-;-;-;-;-;-;-;-;-;;;
407;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/;chNFSe;"Chave de NFS-e inválida.

1 - Verificar DV da chave de NFS-e informada neste campo desta DPS;";;Obrig.;Rej.;E0455;Informe uma chave de NFS-e válida.;1;V;X;V;X;-;;;
408;;;Chave de NFS-e inexistente.;;Obrig.;Rej.;E0456;NFS-e não existe na base de dados do autorizador de NFS-e nacional. Informe uma chave de NFS-e existente.;1;V;X;V;X;-;;;
409;;;NFS-e da chave informada está cancelada.;;Obrig.;Rej.;E0458;Uma NFS-e cancelada não pode ser informada para dedução/redução.;2;V;X;X;X;-;;;
410;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/;chNFe;"Chave de NF-e inválida.

1 - Verificar DV da chave de NF-e informada neste campo desta DPS;";;Obrig.;Rej.;E0460;Informe uma chave de NF-e válida.;1;V;X;V;X;-;;;
411;;;Chave de NF-e inexistente.;;Obrig.;Rej.;E0462;NF-e não existe na base de dados do autorizador de NF-e nacional. Informe uma chave de NF-e existente.;2;V;X;X;X;-;;;
412;;;NF-e da chave informada está cancelada.;;Obrig.;Rej.;E0464;Uma NF-e cancelada não pode ser informada para dedução/redução.;2;V;X;X;X;-;;;
413;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/;NFSeMun;-;;-;-;;-;-;-;-;-;-;-;;;
414;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/NFSeMun/;cMunNFSeMun;O código do município informado para o documento de nota não existe, conforme tabela de municípios do IBGE.;;Obrig.;Rej.;E0466;Informe um código de município existente para o documento de nota, conforme tabela de municípios do IBGE.;1;V;V;V;V;-;;;
415;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/NFSeMun/;nNFSeMun;-;;-;-;;-;-;-;-;-;-;-;;;
416;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/NFSeMun/;cVerifNFSeMun;-;;-;-;;-;-;-;-;-;-;-;;;
417;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/;NFNFS;-;;-;-;;-;-;-;-;-;-;-;;;
418;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/NFNFS/;nNFS;-;;-;-;;-;-;-;-;-;-;-;;;
419;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/NFNFS/;modNFS;-;;-;-;;-;-;-;-;-;-;-;;;
420;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/NFNFS/;serieNFS;-;;-;-;;-;-;-;-;-;-;-;;;
421;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/;nDocFisc; ;;-;-;;-;-;-;-;-;-;-;;;
422;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/;nDoc;-;;-;-;;-;-;-;-;-;-;-;;;
423;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/;tpDedRed;-;;-;-;;-;-;-;-;-;-;-;;;
424;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/;xDescOutDed;O campo de descrição deve ser informado no caso de tpDedRed igual a 99 – Outras deduções.;;Obrig.;Rej.;E0468;Informar, obrigatoriamente, o campo de descrição no caso ideDedRed igual a 99 – Outras deduções.;2;V;X;V;X;-;;;
425;;;O campo de descrição não deve ser informado no caso de tpDedRed diferente de 99 – Outras deduções.;;Obrig.;Rej.;E0470;Não informar o campo de descrição no caso ideDedRed diferente a 99 – Outras deduções.;2;V;X;V;X;-;;;
426;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/;dEmiDoc; A data de emissão do documento informado na DPS não pode ser posterior à data de competência da DPS.;;Obrig.;Rej.;E0472;A data de emissão do documento informado na DPS não pode ser posterior à data de competência da DPS.;1;V;X;V;X;-;;;
427;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/;vDedutivelRedutivel;-;;-;-;-;-;-;-;-;-;-;-;;;
428;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/;vDeducaoReducao;O valor de dedução/redução não pode ser superior ao valor dedutível/redutível.;;Obrig.;Rej.;E0474;O valor de dedução/redução não pode ser superior ao valor dedutível/redutível.;2;V;X;V;X;-;;;
429;;;O valor de dedução/redução informado na DPS não pode ser superior ao valor do serviço.;;Obrig.;Rej.;E0476;O valor de dedução/redução informado na DPS não pode ser superior ao valor do serviço.;2;V;X;V;X;-;;;
430;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/;fornec;O grupo de informações para o fornecedor deve ser informado obrigatoriamente para todos os tipos de documentos informados, exceto para os tipos de documentos NFS-e e NF-e padrões nacionais.;;Obrig.;Rej.;E0477;O grupo de informações para o fornecedor deve ser informado obrigatoriamente para o tipo de documento de dedução/redução informado na DPS.;2;V;X;V;X;-;;;
431;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/;CNPJ;CNPJ informado na DPS é inválido (verificar DV).;;Obrig.;Rej.;E0478;CNPJ do fornecedor informado na DPS é inválido.;1;V;V;V;V;-;;;
432;;;CNPJ informado na DPS é inexistente no cadastro CNPJ.;;Obrig.;Rej.;E0482;CNPJ do fornecedor informado na DPS não encontrado no cadastro CNPJ.;1;V;V;X;X;-;;;
433;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/;CPF;CPF informado na DPS é inválido (verificar DV).;;Obrig.;Rej.;E0484;CPF do fornecedor informado na DPS é inválido.;1;V;V;V;V;-;;;
434;;;CPF informado na DPS é inexistente no cadastro CPF.;;Obrig.;Rej.;E0488;CPF do fornecedor informado na DPS não encontrado no cadastro CPF.;1;V;V;X;X;-;;;
435;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/;NIF;-;;-;-;-;-;-;-;-;-;-;-;;;
436;;;Se o grupo de informações de endereço no exterior do fornecedor de serviços foi informado então o NIF ou cNaoNIF do fornecedor deve ser informado.;;Obrig.;Rej.;E1538;O NIF ou cNaoNIF do fornecedor deve ser informado quando o grupo de informações de endereço no exterior do fornecedor de serviços for informado.;1;V;X;V;X;-;;;
437;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/;cNaoNIF;;;;;;;;;;;;-;;;
438;;;Se o valor do campo cNaoNIF do fornecedor, informado na DPS, for 0, então a DPS deve ser rejeitada.;;Obrig.;Rej.;E0490;Valor 0 para o motivo da não informação do NIF do fornecedor não é permitido na Sefin do Sistema Nacional NFS-e.;2;V;X;X;X;-;;;
439;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/;CAEPF;-;;-;-;-;-;-;-;-;-;-;-;;;
440;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/;IM;-;;-;-;-;-;-;-;-;-;-;-;;;
441;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/;xNome;-;;-;-;-;-;-;-;-;-;-;-;;;
442;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/;endFornec;-;;-;-;-;-;-;-;-;-;-;-;;;
443;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/end/;endNac;Se CNPJ ou CPF do fornecedor for informado, então o grupo de informaçoes de endereço nacional do fornecedor deve ser informado obrigatoriamente.     ;;Obrig.;Rej.;E0492;O grupo de informações de endereço nacional deve ser informado obrigatoriamente quando o fornecedor for identificado pelo CPF ou CNPJ.;1;V;X;V;X;-;;;
444;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/end/endNac/;cMun;O código do município informado para o endereço do fornecedor não existe, conforme tabela de municípios do IBGE.;;Obrig.;Rej.;E0494;O código do município informado na DPS para o endereço do fornecedor do serviço não existe conforme tabela de município do IBGE.;1;V;V;V;V;-;;;
445;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/end/endNac/;CEP;O CEP informado deve existir e pertencer ao município correspondente ao código do município informado para o endereço do fornecedor.;;Obrig.;Rej.;E0496;O CEP informado para o endereço nacional do fornecedor não existe ou não pertence ao município do endereço do fornecedor.;1;V;X;V;X;-;;;
446;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/end/;endExt;Se o NIF do fornecedor foi informado, então o grupo de informações de endereço no exterior do fornecedor deve ser informado obrigatoriamente.;;Obrig.;Rej.;E0498;O grupo de informações de endereço no exterior deve ser informado obrigatoriamente quando o fornecedor for identificado pelo NIF.;1;V;X;V;X;-;;;
447;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/end/endExt/;cPais;O código de país informado para o endereço no exterior do fornecedor deve existir e ser diferente de Brasil (BR), conforme a tabela ISO2.;;Obrig.;Rej.;E0499;O código de país informado para o endereço no exterior do fornecedor não existe ou é igual ao código do Brasil. Informe um código de país existente e diferente do codigo do Brasil (BR) para o endereço no exterior do fornecedor, conforme tabela de país do ANEXO_A-MUNICIPIO_IBGE-PAISES_ISO2-SNNFSe-ESPEC.;1;V;V;V;V;-;;;
448;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/end/endExt/;cEndPost;-;;-;-;-;-;-;-;-;-;-;-;;;
449;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/end/endExt/;xCidade;-;;-;-;-;-;-;-;-;-;-;-;;;
450;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/end/endExt/;xEstProvReg;-;;-;-;-;-;-;-;-;-;-;-;;;
451;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/endFornec/;xLgr;-;;-;-;-;-;-;-;-;-;-;-;;;
452;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/endFornec/;nro;-;;-;-;-;-;-;-;-;-;-;-;;;
453;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/endFornec/;xCpl;-;;-;-;-;-;-;-;-;-;-;-;;;
454;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/endFornec/;xBairro;-;;-;-;-;-;-;-;-;-;-;-;;;
455;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/;fone;-;;-;-;;-;-;-;-;-;-;-;;;
456;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/;email;-;;-;-;;-;-;-;-;-;-;-;;;
457;NFSe/infNFSe/DPS/infDPS/valores/;trib;-;;-;-;-;-;-;-;-;-;-;-;;;
458;NFSe/infNFSe/DPS/infDPS/valores/trib/;tribMun;-;;-;-;-;-;-;-;-;-;-;-;;;
459;NFSe/infNFSe/DPS/infDPS/valores/trib/tribMun/;tribISSQN;"Não é permitido ao emitente informar se tratar de uma situação de exportação de serviço (tribISSQN = 3) para os cenários 6, 10, 34, 38, 66, 80, conforme a planilha ""EXPORTACAO_EMISSÃO_NFS-e"".";;Obrig.;Rej.;E0529;O sistema considera este cenário para a prestação de serviço informada na DPS uma operação tributável. Não é permitido ao emitente da DPS informar que a prestação de serviço se trata de uma exportação de serviço.;2;V;X;V;X;"Os campos a serem verificados conforme os cenários são:
6
NFSe/infNFSe/DPS/infDPS/toma/end/endNac/cMun
NFSe/infNFSe/DPS/infDPS/interm/end/endNac/cMun
NFSe/infNFSe/DPS/infDPS/serv/locPrest/cLocPrestacao
NFSe/infNFSe/DPS/infDPS/serv/cServ/cTribNac
Resultado do local de incidência = ET 
NFSe/infNFSe/DPS/infDPS/valores/trib/tribMun/tribISSQN
tribISSQN = 3 (Exportação de Serviço)

10
NFSe/infNFSe/DPS/infDPS/toma/end/endNac/cMun
NFSe/infNFSe/DPS/infDPS/interm/end/endNac/cMun
NFSe/infNFSe/DPS/infDPS/serv/locPrest/cLocPrestacao
NFSe/infNFSe/DPS/infDPS/serv/cServ/cTribNac
Resultado do local de incidência = LP 
NFSe/infNFSe/DPS/infDPS/valores/trib/tribMun/tribISSQN
tribISSQN = 3 (Exportação de Serviço)

34
NFSe/infNFSe/DPS/infDPS/toma/end/endNac/cMun
NFSe/infNFSe/DPS/infDPS/interm/end/endExt/cPais
NFSe/infNFSe/DPS/infDPS/serv/locPrest/cLocPrestacao
NFSe/infNFSe/DPS/infDPS/serv/cServ/cTribNac
Resultado do local de incidência = ET  
NFSe/infNFSe/DPS/infDPS/valores/trib/tribMun/tribISSQN
tribISSQN = 3 (Exportação de Serviço)

38
NFSe/infNFSe/DPS/infDPS/toma/end/endNac/cMun
NFSe/infNFSe/DPS/infDPS/interm/end/endExt/cPais
NFSe/infNFSe/DPS/infDPS/serv/locPrest/cLocPrestacao
NFSe/infNFSe/DPS/infDPS/serv/cServ/cTribNac
Resultado do local de incidência = LP 
NFSe/infNFSe/DPS/infDPS/valores/trib/tribMun/tribISSQN
tribISSQN = 3 (Exportação de Serviço)

66
NFSe/infNFSe/DPS/infDPS/toma/end/endExt/cPais
NFSe/infNFSe/DPS/infDPS/interm/end/endNac/cMun
NFSe/infNFSe/DPS/infDPS/serv/locPrest/cLocPrestacao
NFSe/infNFSe/DPS/infDPS/serv/cServ/cTribNac
Resultado do local de incidência = LP 
NFSe/infNFSe/DPS/infDPS/valores/trib/tribMun/tribISSQN
tribISSQN = 3 (Exportação de Serviço)

80
NFSe/infNFSe/DPS/infDPS/toma/end/endExt/cPais
NFSe/infNFSe/DPS/infDPS/interm/end/endExt/cPais
NFSe/infNFSe/DPS/infDPS/serv/locPrest/cLocPrestacao
NFSe/infNFSe/DPS/infDPS/serv/cServ/cTribNac
Resultado do local de incidência = LP 
NFSe/infNFSe/DPS/infDPS/valores/trib/tribMun/tribISSQN
tribISSQN = 3 (Exportação de Serviço)
 ";;;
460;;;;;;;;;;;;;;;;;
461;;;"Não é permitido ao emitente informar se tratar de uma situação de operação tributável (tribISSQN = 1) para os cenários 26, 54, 92, 96, 106, 110, conforme a planilha ""EXPORTACAO_EMISSÃO_NFS-e"".";;Obrig.;Rej.;E0530;O sistema considera este cenário para a prestação de serviço informada na DPS uma exportação de serviço. Não é permitido ao emitente da DPS informar que a prestação de serviço se trata de uma operação tributável.;2;V;X;V;X;"Os campos a serem verificados conforme os cenários são:

26
NFSe/infNFSe/DPS/infDPS/toma/end/endNac/cMun
NFSe/infNFSe/DPS/infDPS/interm/end/endNac/cMun
NFSe/infNFSe/DPS/infDPS/serv/locPrest/cLocPrestacao
NFSe/infNFSe/DPS/infDPS/serv/cServ/cTribNac
Resultado do local de incidência = EP 
NFSe/infNFSe/DPS/infDPS/valores/trib/tribMun/tribISSQN
tribISSQN = 3 (Exportação de Serviço)

54
NFSe/infNFSe/DPS/infDPS/toma/end/endNac/cMun
NFSe/infNFSe/DPS/infDPS/interm/end/endExt/cPais
NFSe/infNFSe/DPS/infDPS/serv/locPrest/cLocPrestacao
NFSe/infNFSe/DPS/infDPS/serv/cServ/cTribNac
Resultado do local de incidência = EP 
NFSe/infNFSe/DPS/infDPS/valores/trib/tribMun/tribISSQN
tribISSQN = 3 (Exportação de Serviço)

92
NFSe/infNFSe/DPS/infDPS/toma/end/endExt/cPais
NFSe/infNFSe/DPS/infDPS/interm/end/endNac/cMun
NFSe/infNFSe/DPS/infDPS/serv/locPrest/cLocPrestacao
NFSe/infNFSe/DPS/infDPS/serv/cServ/cTribNac
Resultado do local de incidência = EP 
NFSe/infNFSe/DPS/infDPS/valores/trib/tribMun/tribISSQN
tribISSQN = 3 (Exportação de Serviço)

96
NFSe/infNFSe/DPS/infDPS/toma/end/endExt/cPais
NFSe/infNFSe/DPS/infDPS/interm/end/endNac/cMun
NFSe/infNFSe/DPS/infDPS/serv/locPrest/cLocPrestacao
NFSe/infNFSe/DPS/infDPS/serv/cServ/cTribNac
Resultado do local de incidência = ET
NFSe/infNFSe/DPS/infDPS/valores/trib/tribMun/tribISSQN
tribISSQN = 3 (Exportação de Serviço)

106
NFSe/infNFSe/DPS/infDPS/toma/end/endExt/cPais
NFSe/infNFSe/DPS/infDPS/interm/end/endExt/cPais
NFSe/infNFSe/DPS/infDPS/serv/locPrest/cLocPrestacao
NFSe/infNFSe/DPS/infDPS/serv/cServ/cTribNac
Resultado do local de incidência = EP
NFSe/infNFSe/DPS/infDPS/valores/trib/tribMun/tribISSQN
tribISSQN = 3 (Exportação de Serviço)

110
NFSe/infNFSe/DPS/infDPS/toma/end/endExt/cPais
NFSe/infNFSe/DPS/infDPS/interm/end/endExt/cPais
NFSe/infNFSe/DPS/infDPS/serv/locPrest/cLocPrestacao
NFSe/infNFSe/DPS/infDPS/serv/cServ/cTribNac
Resultado do local de incidência = ET
NFSe/infNFSe/DPS/infDPS/valores/trib/tribMun/tribISSQN
tribISSQN = 3 (Exportação de Serviço)
 ";;;
